date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:52	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:50%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/9613933.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/9613933.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:52	390733/390733	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:41%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/37bd3c5.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/37bd3c5.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:52	116352/116352	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:03:04%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/e6749e3.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/e6749e3.png	(from https://www.nintendoswitch.com.cn/)
13:38:53	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:52%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/c392167.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/c392167.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:55	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:53%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/f92315d.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/f92315d.png	(from https://www.nintendoswitch.com.cn/)
13:38:55	375086/375086	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:52%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/9613933.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/9613933.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:57	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:56%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/ad2aeb5.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/ad2aeb5.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:57	402371/402371	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:59%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/c392167.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/c392167.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:59	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:58%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/f6e5eec.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/f6e5eec.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:59	331523/331523	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:03:07%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/f92315d.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/f92315d.png	(from https://www.nintendoswitch.com.cn/)
